ID	Name	Desc	PriceDesc	Price	Store	IsFreeship	ServiceTag	BookTag	Author	AuthorScore	PublisherScore	PublisherCode	Publisher	BrandScore	Brand	Package	PubDate	PubYear	Paper	Language	PageSize	CommentCount	GoodCount	BadCount	IsPractise	IsFramework	SellLevel	SellScore
10023000000000	深度学习进阶 自然语言处理 深度学习入门基于Python的理论与实现续作 NLP神经网络机器学习	深度学习进阶 自然语言处理 深度学习入门基于Python的理论与实现续作 NLP神经网络机器学习	较高	79.2	人民邮电出版社官方旗舰店	1	1	放心购|免邮	斋藤康毅	20	50	0	人民邮电出版社	10	人民邮电出版社		2020-10-01	2020.0			400.0	22	1	0	0	0	不畅销	0.5083
17681291370	机器学习案例实战 赵卫东 	人民邮电出版社	中	39.9	蓝墨水图书专营店	1	0	券99-2		20	50	0	人民邮电出版社	10			2019-07-31	2019.0				15	9	0	1	0	不畅销	0.2544
26682627984	Python神经网络编程 深度学习机器学习人工智能书籍 神经网络编程入门教程书	人工智能书籍 神经网络编程入门教程书	中	52.0	人民邮电出版社官方旗舰店	1	1	放心购|免邮	塔里克·拉希德	20	50	0	人民邮电出版社	10	人民邮电出版社	平装	2018-04-01	2018.0				15	5	0	0	0	不畅销	0.248
14455961016	【中法图】正版 AI：人工智能的本质与未来 【英】玛格丽特·博登 数学计算机建模互联网仿真机器学习	人工智能时代对刑法的挑战及刑法的应对之策	中	41.7	中国法律图书旗舰店	0	1	放心购	【英】玛格丽特·博登	20	10	700	中国人民大学出版社	10		平装-胶订	2017-06-01	2017.0				13	3	0	0	0	不畅销	0.1862
10024700000000	零基础学机器学习 人工智能教程书籍深入浅出神经网络与深度学习入门基于python框架实战方法基础算	人工智能教程书籍，深入浅出神经网络与深度学习入门，基于python框架算法，入门必备小白书，课堂培训配备丰富的实战案例赠送全书实例源代码。	较高	67.4	人民邮电出版社官方旗舰店	1	1	放心购|免邮	黄佳	20	50	0	人民邮电出版社	10	人民邮电出版社		2020-12-01	2020.0			340.0	28	2	0	1	0	不畅销	0.8178
70192168889	深入浅出GAN生成对抗网络 原理剖析与TensorFlow实践人工智能机器学习教程项目实战书籍 计	人工智能机器学习教程书籍，生成对抗网络项目实战，基于Python语言，利用TensorFlow深度学习框架对各种不同类别的GAN模型进行实现	较高	74.0	人民邮电出版社官方旗舰店	1	1	放心购|免邮	廖茂文 潘志宏	20	50	0	人民邮电出版社	10	人民邮电出版社		2020-06-01	2020.0			480.0	20	2	0	1	1	不畅销	0.42419999999999997
13005424	人工智能：机器学习与神经网络	人工智能：机器学习与神经网络	较高	78.4		0	2	自营|放心购	刘峡壁	20	10	700	国防工业出版社	10	其他品牌	平装	2020-08-01	2020.0	胶版纸	中文	358.0	14	2	0	0	0	不畅销	0.213
67326167266	MATLAB机器学习:人工智能工程实践原书第2版 计算机人工智能智能与技术丛书 用MATLAB构	全新正版，80%地区JD快递配送。点击领取	中	42.72	静默时光图书专营店	0	1	放心购|券99-5		20	50	2	机械工业出版社	10			2020-02-01	2020.0				19	2	0	1	0	不畅销	0.384
70133981215	AI人工智能  机器学习理论导引 周志华老师著  西瓜书进阶版 机器学习入门教材书籍 之 机器学习理论导引 单本	全新正版，80%地区JD快递配送。点击领取	中	39.1	静默时光图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10		平装		1900.0	纯质纸			17	3	0	0	0	不畅销	0.3114
70133981216	AI人工智能  机器学习理论导引 周志华老师著  西瓜书进阶版 机器学习入门教材书籍 之 机器学习 单本	全新正版，80%地区JD快递配送。点击领取	中	55.0	静默时光图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10		平装		1900.0	纯质纸			17	3	0	0	0	不畅销	0.3114
70133981217	AI人工智能  机器学习理论导引 周志华老师著  西瓜书进阶版 机器学习入门教材书籍 之 2册套装	全新正版，80%地区JD快递配送。点击领取	高	111.0	静默时光图书专营店	0	1	放心购|门店有售|到店自取|券99-5	周志华	89	40	1	清华大学出版社	10		平装		1900.0	纯质纸			17	3	0	0	0	不畅销	0.3114
